company,category,claim,page,confidence_score,risk_level,risk_reason
ASEH,emissions,"ASEH has achieved 100% control over greenhouse gas emissions in all of its global sites, following ISO 14064-1 standards.",126,0.83,Medium,"Specific claim, but missing target year."
ASEH,emissions,with a 40% reduction in greenhouse gas intensity per unit of revenue compared to the baseline year 2015.,126,0.84,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,"operating locations worldwide, to attain the reduction targets in 2030 and progressively Net-zero.",126,0.86,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,supply_chain,"Scope 3, accounting for 83% of the total emissions, is the procurement of goods and services.",126,0.82,Medium,"Specific claim, but missing target year, external validation."
ASEH,supply_chain,"Our goal is to enhance the industry's ability to assess emissions across the supply chain, analyze carbon reduction",126,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"In 2024, we invested a total of approximately US$24 million on 1008 projects, resulting in an emission reduction of 565,806 tCOe.",128,0.83,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,on source emissions and facility upgrades and improvements to reduce the Performance and Operation incineration substances,146,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"This adjustment effectively reduced VOC emissions,",146,0.72,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,Greenhouse gas emissions are being reduced 1.,153,0.84,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,compelling companies to reduce carbon. collaboration to develop product,153,0.72,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,Project Name Net-Zero and Circular Economy Transition Project Target Audience,182,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,Substantially reduce who have obtained GHG emissions verification (ISO - - - 50% 100%,195,0.82,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,"In 2024, a total of 80 key carbon reduction suppliers were identified (53 raw material suppliers and 27 equipment suppliers)",195,0.83,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,supply_chain,material suppliers which accounted for 57.6% of Tier-1 supplier’s total procurement amount.,200,0.83,Medium,"Specific claim, but missing target year, external validation."
ASEH,supply_chain,"Moreover, to further reduce supply chain risks, ASEH has begun to implement sustainability risk management for non Tier",200,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,supply_chain,processes for non Tier-1 suppliers so that we can achieve a more robust and resilient supply chain.,200,0.83,Medium,"Specific claim, but missing target year, external validation."
ASEH,supply_chain,"In 2024, procurement from local suppliers1 is accounted for approximately 48.1% of our total procurement amount while",200,0.82,Medium,"Specific claim, but missing external validation."
ASEH,supply_chain,"local procurement is account for 52% in main operation base, Taiwan.",200,0.82,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,"For these category of suppliers, we require them to set short- and medium-term carbon reduction goals and implement",202,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,supply_chain,2024 Best Supplier Award Ceremony –Recognition of suppliers who have achieved carbon,202,0.84,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,"carbon materials, and increasing the use of recycled minerals to reduce",203,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,to achieve a 20% reduction in greenhouse gas emissions by 2035.,203,0.85,Medium,"Specific claim, but missing external validation."
ASEH,supply_chain,"innovative design efforts, we will partner with suppliers to develop the 2024 Best Supplier Award Ceremony – Launch ceremony for the Equipment Supplier Energy-Saving Project",203,0.85,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,"Additionally, we encourage suppliers to progressively adopt low-carbon transportation methods, including the use of low-carbon fuels, to lower",203,0.72,High,Vague or aspirational claim without a measurable KPI.
ASEH,supply_chain,Carbon Reduction and Water Conservation Guidance Project Target: Raw material supplier,204,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"To reduce the waste of resources and enhance green sustainability awareness, since 2021, ASE Kaohsiung has provided support to suppliers in reducing GHG and water resource consumption and,",204,0.83,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,"at the same time, established a 3% reduction target for both GHG and water resources.",204,0.84,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,"2025, expert teams will be scheduled to conduct on-site support to strengthen our suppliers’ carbon reduction and water conservation efforts.",204,0.83,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,supply_chain,"As a response to the increasing digitalization of the supply chain and cybersecurity threats, we established a supplier information security evaluation system in 2022 to ensure supply chain",204,0.84,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,supply_chain,"In 2024, ASE Kaohsiung launched the Supplier ESG Academy and established an online learning platform to support supplier ESG development.",205,0.83,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,supply_chain,"In 2020, we launched the Supplier Sustainability Awards, a brand new category that aligns with 2 of our core sustainability strategies - low-carbon and circular.",205,0.84,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,governance,"board of directors, and establish the sustainability management policies and goals of the three subsidiaries.",206,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,renewable_energy,"Carbon Management: Greenhouse Gas Emission, Product Carbon Footprints, Carbon Reduction Target, Renewable Energy Target",207,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,supply_chain,"completeness and response rate of the supplier sustainability risk assessment questionnaire, we’ve launched an E-platform close business relationship with ASEH.",210,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,supply_chain,The response rate for the supplier sustainability circumstance and continually reduce risk level.,210,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,Environment Mechanisms to measure GHG inventory and reduction targets have yet to be established,210,0.75,High,Vague or aspirational claim without a measurable KPI.
ASEH,supply_chain,where we will also consider a gradual reduction of our procurement volumes and include them in the supplier watch,211,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,supply_chain,Supplier Responsibility Lack of supplier ESG risk assessment procedures and audit systems Establish supplier ESG risk assessment procedures and audit systems,211,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,impact reduction and early warnings efficiency in 2024: 2024: environmental protection and carbon reduction,216,0.84,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,"In 2024, to optimize resource utilization and deepen environmental sustainability efforts, NT$ 100 Carbon Reduction Academic research projects on environment-related technologies",221,0.83,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,supply_chain,"In 2024, the Responsible Minerals Initiative (RMI) of RBA announced the launch of the RMI Investor Network to advance responsible sourcing and further engage",234,0.82,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,"net-zero emissions by 2050, and Mainland China’s aim to reach carbon ASEH is fully committed to support government policies that align with the Paris Agreement.",236,0.83,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,"below 2℃ or 1.5℃, Net Zero 2050, energy-saving and carbon reduction.",237,0.85,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,"Recognizes climate risks, established the Green, Low-Carbon Development Branch, and holds energy conservation and carbon reduction",238,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"12 Taiwan Net Zero Emissions Association Recognizes climate risks, pledged to help Taiwan achieve net zero, and promote the Pathway to Net Zero through conferences and public advocacy.",238,0.83,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"Recognizes climate risks, supports the Paris Agreement, established the Taiwan Alliance for Net Zero Emissions, and promotes the Pathway to Net",238,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"15 Net Zero Carbon Association Pledged to help Taiwan achieve net zero, and holds conferences to promote the Pathway to Net Zero.",238,0.83,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,The Board of Directors has established the Risk Management,247,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,setting the price should be stated. encourage subsidiary companies to implement emission reduction projects.,247,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"The Company has established short-term and long-term net zero goals, with annual greenhouse gas inventories verified by third-party organizations.",247,0.76,Medium,"Specific claim, but missing specific metric, target year."
ASEH,supply_chain,Category Supplier 2024 2024 Target Category 2021 2022 2023 2024,256,0.83,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,supply_chain,3 rd party Tier-1 Supplier 22 Metal Materials Amount (tonnes) Share of Metal used that is Recycled (%),256,0.83,Medium,"Specific claim, but missing target year, external validation."
ASEH,renewable_energy,(renewable energy) consumption and renewable energies accounting for 18.48 %,267,0.85,Medium,"Specific claim, but missing target year, external validation."
